voltage,armature_current,ang_displacement,torque,ang_velocity,back_emf,status
2.4,0.0025255261161151,46.5981009373962,0.000681892051351,8.91603679951514,2.40732993586909,1
12.0,0.0162923785476673,13.0299700518256,0.0043989422078701,44.3898681827772,11.9852644093498,0
12.0,0.0136714200731728,2396.92512010708,0.0036912834197566,44.317571846295,11.9657443984997,0
12.0,0.01534642284089,2002.62323202008,0.0041435341670402,44.3599181043817,11.9771778881831,0
12.0,-0.015231265564509,4257.82129752766,-0.0041124417024174,44.4741201905269,12.0080124514423,0
12.0,0.0172620666064997,101.814338572331,0.0046607579837549,44.4760062036133,12.0085216749756,1
12.0,-0.00186219482355,725.745078607,-0.0005027926023585,44.2376113688053,11.9441550695774,0
8.4,-0.0098669528476143,61.54041563495,-0.0026640772688558,31.0559764128742,8.38511363147603,1
12.0,0.0096390959885186,3071.4143786392,0.0026025559169,44.5961353346281,12.0409565403496,0
12.0,-0.015430185138855,2110.19092456421,-0.0041661499874908,44.5458685142301,12.0273844988421,0
12.0,-0.0095382407217403,126.147927340906,-0.0025753249948699,44.3446723081302,11.9730615231952,1
12.0,0.0108815332935875,330.434659708782,0.0029380139892686,44.344119855577,11.9729123610058,1
12.0,0.015823325,374.4716405,0.004272298,44.42085,11.9936295,0
12.0,0.0011291685761901,71.0773181744317,0.0003048755155713,44.5206727819305,12.0205816511212,1
12.0,0.0128075305915385,1801.0622812981,0.0034580332597153,44.5483973908311,12.0280672955244,0
12.0,0.0100187298672227,387.619617215089,0.0027050570641501,44.3085923908402,11.9633199455269,1
12.0,0.0150238418692016,143.637962489411,0.0040564373046844,44.4372417589903,11.9980552749274,1
12.0,-0.008764672,103.313887,-0.002366461,44.63273201,12.05083764,0
2.4,-0.0032747664834713,74.1530349188532,-0.0008841869505372,8.91293718444985,2.40649303980146,1
9.6,-0.0083327045103933,240.429787398579,-0.0022498302178062,35.4285523287197,9.56570912875432,1
12.0,0.0146791953760618,3756.51355424426,0.0039633827515366,44.2956447011866,11.9598240693204,0
12.0,0.0144045689242765,3293.55560646433,0.0038892336095546,44.4832085513941,12.0104663088764,0
12.0,-0.014981658388885,3851.95759439394,-0.0040450477649989,44.4317960703481,11.996584938994,0
12.0,0.0146791953760566,698.881461920361,0.0039633827515352,44.2956447011866,11.9598240693204,0
12.0,-0.0154301851388707,3017.65451340125,-0.004166149987495,44.5458685142299,12.0273844988421,0
12.0,0.0103949700457316,361.945628620334,0.0028066419123475,44.4860292694934,12.0112279027632,1
12.0,-0.0152312655645054,1801.3115825228,-0.0041124417024164,44.4741201905269,12.0080124514423,0
12.0,-0.0065097335098399,46.1531727424055,-0.0017576280476567,44.5572259731703,12.030451012756,1
2.4,0.0013944874550663,2.50616619083827,0.0003765116128679,8.93158831107324,2.41152884398978,1
12.0,-0.0110152211581105,325.474156267213,-0.0029741097126898,44.5101746400687,12.0177471528186,1
12.0,-0.0149816583888864,1655.54890803667,-0.0040450477649993,44.4317960703481,11.996584938994,0
12.0,0.004795363,386.5232673,0.001294748,44.2326573,11.94281747,0
12.0,0.0153464228408822,892.858843123501,0.0041435341670381,44.3599181043815,11.977177888183,0
12.0,0.0136714200731733,4350.57284639329,0.0036912834197568,44.317571846295,11.9657443984997,0
12.0,-0.00682541308818,214.713274839784,-0.0018428615338086,44.4862833937847,12.0112965163219,1
12.0,0.0091229573459519,2324.31192772353,0.002463198483407,44.2489353357387,11.9472125406495,0
4.8,0.0011660163735457,132.579767444035,0.0003148244208573,17.6936144788276,4.77727590928344,1
9.6,-0.0040090990854051,183.735921826297,-0.0010824567530593,35.7172859821368,9.64366721517693,1
12.0,0.0057195558453291,366.625516690057,0.0015442800782388,44.4628747891811,12.0049761930789,1
4.8,0.0058934493624013,34.4799394492874,0.0015912313278483,17.71824943852,4.78392734840039,1
12.0,0.0141980884124413,124.430397469726,0.0038334838713591,44.5061485047774,12.0166600962899,1
4.8,-0.0012874866671206,36.8894209424884,-0.0003476214001225,17.867314628331,4.82417494964938,1
12.0,-0.0074704532016403,3622.77994259158,-0.0020170223644428,44.2757424837003,11.9544504705991,0
12.0,0.0153464228408894,1430.40096899528,0.0041435341670401,44.3599181043817,11.9771778881831,0
12.0,-0.0047710127707701,120.939367801236,-0.0012881734481079,44.3652418453678,11.9786152982493,1
12.0,0.0146791953760622,1247.98363350979,0.0039633827515368,44.2956447011867,11.9598240693204,0
12.0,0.0061920242454378,103.264065770853,0.0016718465462682,44.4417010910961,11.999259294596,1
9.6,-0.0019719864433435,16.4643495601035,-0.0005324363397027,35.3896745802632,9.55521213667106,1
12.0,-0.007470453201645,3582.31978257974,-0.0020170223644441,44.2757424837004,11.9544504705991,0
12.0,0.0155082928714399,2573.57794330757,0.0041872390752887,44.3962531950943,11.9869883626755,0
12.0,-0.014981658388883,713.40518204636,-0.0040450477649984,44.4317960703481,11.996584938994,0
12.0,-0.0031757666619642,600.86473099929,-0.0008574569987303,44.6678061597465,12.0603076631316,0
12.0,-0.0152312655645083,3217.41718293735,-0.0041124417024172,44.4741201905269,12.0080124514423,0
12.0,-0.0038472849213133,216.267365408279,-0.0010387669287546,44.4080419483177,11.9901713260458,1
9.6,0.0115453728381032,179.491289516685,0.0031172506662878,35.586656035768,9.60839712965736,1
12.0,0.0059139530500693,8.2210047494979,0.0015967673235187,43.9898486950547,11.8772591476648,1
12.0,0.0206395865695378,354.379388351981,0.0055726883737752,44.376766878123,11.9817270570932,1
12.0,-0.0140689880082833,810.41706952981,-0.0037986267622364,44.3659131220031,11.9787965429408,0
